sl,sample,vote,method,mean.accuracy,mean.f1score
1,1000,10,gbm,0.7917683,0.6459884
2,1000,20,gbm,0.7728951,0.6504805
3,1000,30,gbm,0.7745634,0.7121078
4,1000,40,gbm,0.7655293,0.6552555
5,1000,50,gbm,0.775039,0.6288852
6,1000,10,svm,0.6968805,0.6554415
7,1000,20,svm,0.6963171,0.6540307
8,1000,30,svm,0.6994561,0.6936051
9,1000,40,svm,0.6875122,0.6565891
10,1000,50,svm,0.6837244,0.6440266
11,2000,10,gbm,0.7496695,0.6688435
12,2000,20,gbm,0.7391402,0.6558755
13,2000,30,gbm,0.7389988,0.6732705
14,2000,40,gbm,0.7357561,0.6495382
15,2000,50,gbm,0.7393707,0.6610658
16,2000,10,svm,0.6682427,0.6530983
17,2000,20,svm,0.6762524,0.6677918
18,2000,30,svm,0.6700427,0.6709943
19,2000,40,svm,0.6688049,0.6642348
20,2000,50,svm,0.6703146,0.6616656
21,3000,10,gbm,0.7426285,0.6775214
22,3000,20,gbm,0.733165,0.6741677
23,3000,30,gbm,0.7308309,0.6675656
24,3000,40,gbm,0.7288927,0.6822206
25,3000,50,gbm,0.7230854,0.6641791
26,3000,10,svm,0.6635358,0.662856
27,3000,20,svm,0.6689382,0.6689238
28,3000,30,svm,0.6679106,0.6634334
29,3000,40,svm,0.6633016,0.6730654
30,3000,50,svm,0.6629098,0.6650859
31,4000,10,gbm,0.7418494,0.6883278
32,4000,20,gbm,0.7323195,0.6831891
33,4000,30,gbm,0.7259463,0.6678271
34,4000,40,gbm,0.7241604,0.6696864
35,4000,50,gbm,0.7222598,0.6577673
36,4000,10,svm,0.6606902,0.6641814
37,4000,20,svm,0.664964,0.6748385
38,4000,30,svm,0.6665427,0.6546183
39,4000,40,svm,0.6652366,0.6603164
40,4000,50,svm,0.6614963,0.6510303
41,5000,10,gbm,0.7353424,0.6824379
42,5000,20,gbm,0.733982,0.6881639
43,5000,30,gbm,0.7247312,0.6746599
44,5000,40,gbm,0.723362,0.6752291
45,5000,50,gbm,0.7188039,0.6718999
46,5000,10,svm,0.6595761,0.6606464
47,5000,20,svm,0.6630873,0.6768567
48,5000,30,svm,0.6627815,0.6661301
49,5000,40,svm,0.6635961,0.6635631
50,5000,50,svm,0.6573522,0.6673992
