"","genre","vote","rating","train.f1score","train.auc","test.f1score","test.auc"
"1","All",50,0.8,0.739220310531054,0.742373486493587,0.692639473983396,0.694266661632561
"2","All",50,0.85,0.748712198885597,0.74965319956117,0.709583870971253,0.711105771949064
"3","All",50,0.9,0.773800231615531,0.772024142286415,0.711159386598573,0.718847631978978
"4","All",50,0.95,0.827341707842577,0.822734140907274,0.762484764736261,0.762097972973512
"5","Action",50,0.8,0.798817543538207,0.796921501145404,0.742095392503212,0.740121613546257
"6","Action",50,0.85,0.813222048965373,0.81263665712649,0.759684830497899,0.756425168928932
"7","Action",50,0.9,0.858624703562201,0.853897364466206,0.805654823802386,0.795821784190964
"8","Action",50,0.95,0.978463945474298,0.978053678985227,0.956874218934129,0.956379357930938
"9","Strategy",50,0.8,0.810301015213559,0.810431042050959,0.743228257864607,0.742502221335022
"10","Strategy",50,0.85,0.830174294696898,0.829670239578994,0.755996565897743,0.75976568301464
"11","Strategy",50,0.9,0.887370940650166,0.883928604050535,0.82835288794763,0.826003748200232
"12","Strategy",50,0.95,0.970231554563363,0.969579035408635,0.941458053922779,0.940345629788161
"13","RPG",50,0.8,0.861710197358738,0.859616494205966,0.82020314988099,0.81709840038503
"14","RPG",50,0.85,0.87338758099781,0.869510276564969,0.822162124339294,0.817160804615508
"15","RPG",50,0.9,0.8963215429219,0.89243521317654,0.843475391030446,0.838642978540749
"16","RPG",50,0.95,0.970343661192996,0.969350319470577,0.925739598643144,0.925717369527657
"17","Survival",50,0.8,0.842347789207711,0.840459705203503,0.766409650666461,0.763688153840826
"18","Survival",50,0.85,0.864304846404129,0.861063633495716,0.779327789980641,0.778625541440347
"19","Survival",50,0.9,0.903812039243842,0.901106678757218,0.84036970415943,0.838782523089207
"20","Survival",50,0.95,0.984749923641582,0.984348376997634,0.952631986139642,0.951977205206404
"21","Simulation",50,0.8,0.854822193416256,0.851710426151018,0.753295749500411,0.748976240287927
"22","Simulation",50,0.85,0.867499963392323,0.865653520452344,0.776647570013128,0.775645213653901
"23","Simulation",50,0.9,0.903329872876162,0.900192169064849,0.817244452185216,0.814090113471585
"24","Simulation",50,0.95,0.977144777847206,0.976516752917984,0.93739705440343,0.936293677593438
"25","Adventure",50,0.8,0.888049181133821,0.8881224015117,0.767507049055917,0.771367846670563
"26","Adventure",50,0.85,0.906488384804021,0.906467691959192,0.800130512009292,0.802814966799692
"27","Adventure",50,0.9,0.938989876111746,0.937899483861441,0.839709840687271,0.838719245468391
"28","Adventure",50,0.95,0.993704683396852,0.993620467824527,0.963582818231185,0.96314109967153
"29","FPS",50,0.8,0.915240430404657,0.913489873726968,0.827450523377987,0.819987723047029
"30","FPS",50,0.85,0.929249139315004,0.927476537726084,0.849821848789805,0.84341886552179
"31","FPS",50,0.9,0.96990928563267,0.969222844063762,0.91064932986447,0.907739056115538
"32","FPS",50,0.95,0.999731127551582,0.999730723126786,0.977987468681768,0.978500694443406
"33","Horror",50,0.8,0.937559272655672,0.93763246796026,0.82706179760241,0.826090169373334
"34","Horror",50,0.85,0.95099507507853,0.950505514298012,0.852095187548181,0.848964683581963
"35","Horror",50,0.9,0.975816062551586,0.975391866263196,0.910792993428541,0.90831626320752
"36","Horror",50,0.95,0.99961709453463,0.99962455144855,0.988046148021487,0.98779331726691
"37","Racing",50,0.8,0.953561466999638,0.952902726414223,0.814472654802094,0.811854508452347
"38","Racing",50,0.85,0.965906794322583,0.965392295720835,0.844164115038041,0.84258561720991
"39","Racing",50,0.9,0.985736644098573,0.985436678042587,0.906911630514848,0.905002652056557
"40","Racing",50,0.95,1,1,0.984276507759006,0.983872472508823
"41","Casual",50,0.8,0.978268280782404,0.978555031297497,0.794317849195468,0.798898658756682
"42","Casual",50,0.85,0.979870365436545,0.979809611467191,0.789485106232961,0.792366735680236
"43","Casual",50,0.9,0.994382211440571,0.994284403699634,0.882876924866765,0.880027457152512
"44","Casual",50,0.95,1,1,0.983256375533295,0.983275937749082
